collected_date,confirmed_student_cases,total_confirmed_cases,
2020-09-10,0,0,2020-09-10
2020-09-11,0,0,2020-09-11
2020-09-14,0,0,2020-09-14
2020-09-15,0,0,2020-09-15
2020-09-16,0,0,2020-09-16
2020-09-17,0,0,2020-09-17
2020-09-18,0,1,2020-09-18
2020-09-21,0,1,2020-09-21
2020-09-22,0,1,2020-09-22
2020-09-23,1,3,2020-09-23
2020-09-24,1,3,2020-09-24
2020-09-25,3,5,2020-09-25
2020-09-28,3,5,2020-09-28
2020-09-29,3,5,2020-09-29
2020-09-30,3,5,2020-09-30
2020-10-01,3,5,2020-10-01
2020-10-02,3,4,2020-10-02
2020-10-05,5,6,2020-10-05
2020-10-06,5,6,2020-10-06
2020-10-07,4,4,2020-10-07
2020-10-08,5,5,2020-10-08
2020-10-09,3,3,2020-10-09
2020-10-13,3,3,2020-10-13
2020-10-14,3,3,2020-10-14
2020-10-15,3,3,2020-10-15
2020-10-16,3,3,2020-10-16
2020-10-19,1,1,2020-10-19
2020-10-20,1,1,2020-10-20
2020-10-21,1,1,2020-10-21
2020-10-22,0,0,2020-10-22
2020-10-23,0,0,2020-10-23
2020-10-26,0,0,2020-10-26
2020-10-27,0,0,2020-10-27
2020-10-28,0,0,2020-10-28
2020-10-29,0,0,2020-10-29
2020-10-30,0,0,2020-10-30
2020-11-02,0,0,2020-11-02
2020-11-03,2,3,2020-11-03
2020-11-04,2,3,2020-11-04
2020-11-05,3,4,2020-11-05
2020-11-06,4,5,2020-11-06
2020-11-09,4,5,2020-11-09
2020-11-10,4,5,2020-11-10
2020-11-11,4,5,2020-11-11
2020-11-12,4,5,2020-11-12
2020-11-13,5,6,2020-11-13
2020-11-16,5,6,2020-11-16
2020-11-17,4,4,2020-11-17
2020-11-18,4,4,2020-11-18
2020-11-19,3,3,2020-11-19
2020-11-20,2,2,2020-11-20
2020-11-23,3,4,2020-11-23
2020-11-24,3,4,2020-11-24
2020-11-25,5,6,2020-11-25
2020-11-26,5,6,2020-11-26
2020-11-27,4,5,2020-11-27
2020-11-30,5,6,2020-11-30
2020-12-01,4,5,2020-12-01
2020-12-02,4,5,2020-12-02
2020-12-03,4,5,2020-12-03
2020-12-04,5,6,2020-12-04
2020-12-07,5,5,2020-12-07
2020-12-08,5,5,2020-12-08
2020-12-09,4,4,2020-12-09
2020-12-10,5,5,2020-12-10
2020-12-11,5,5,2020-12-11
2020-12-14,6,6,2020-12-14
2020-12-15,6,6,2020-12-15
2020-12-16,8,8,2020-12-16
2020-12-17,9,10,2020-12-17
2020-12-18,8,11,2020-12-18
2021-02-16,0,0,2021-02-16
2021-02-17,3,3,2021-02-17
2021-02-18,7,8,2021-02-18
2021-02-19,7,8,2021-02-19
2021-02-22,16,18,2021-02-22
2021-02-23,18,20,2021-02-23
2021-02-24,22,24,2021-02-24
2021-02-25,26,28,2021-02-25
2021-02-26,28,30,2021-02-26
2021-03-01,33,35,2021-03-01
2021-03-02,34,36,2021-03-02
2021-03-03,31,33,2021-03-03
2021-03-04,27,28,2021-03-04
2021-03-05,27,28,2021-03-05
2021-03-08,18,18,2021-03-08
2021-03-09,17,18,2021-03-09
2021-03-10,15,16,2021-03-10
2021-03-11,13,14,2021-03-11
2021-03-12,11,12,2021-03-12
2021-03-15,15,19,2021-03-15
2021-03-16,19,24,2021-03-16
2021-03-17,19,24,2021-03-17
2021-03-18,19,24,2021-03-18
2021-03-19,20,27,2021-03-19
2021-03-22,24,31,2021-03-22
2021-03-23,24,30,2021-03-23
2021-03-24,22,29,2021-03-24
2021-03-25,23,30,2021-03-25
2021-03-26,24,30,2021-03-26
2021-03-29,17,21,2021-03-29
2021-03-30,17,20,2021-03-30
2021-03-31,17,20,2021-03-31
,7.990291262,9.32038835,
,,,
168.13,,,
