collected_date,confirmed_student_cases,total_confirmed_cases,
2020-09-10,0,0,2020-09-10
2020-09-11,0,0,2020-09-11
2020-09-14,0,0,2020-09-14
2020-09-15,0,0,2020-09-15
2020-09-16,0,0,2020-09-16
2020-09-17,0,0,2020-09-17
2020-09-18,0,0,2020-09-18
2020-09-21,0,0,2020-09-21
2020-09-22,0,0,2020-09-22
2020-09-23,0,0,2020-09-23
2020-09-24,0,0,2020-09-24
2020-09-25,0,0,2020-09-25
2020-09-28,0,0,2020-09-28
2020-09-29,0,0,2020-09-29
2020-09-30,0,0,2020-09-30
2020-10-01,0,0,2020-10-01
2020-10-02,0,0,2020-10-02
2020-10-05,0,0,2020-10-05
2020-10-06,0,0,2020-10-06
2020-10-07,0,0,2020-10-07
2020-10-08,0,0,2020-10-08
2020-10-09,0,0,2020-10-09
2020-10-13,0,0,2020-10-13
2020-10-14,0,0,2020-10-14
2020-10-15,0,0,2020-10-15
2020-10-16,0,0,2020-10-16
2020-10-19,0,0,2020-10-19
2020-10-20,0,0,2020-10-20
2020-10-21,3,4,2020-10-21
2020-10-22,3,4,2020-10-22
2020-10-23,3,4,2020-10-23
2020-10-26,3,4,2020-10-26
2020-10-27,3,4,2020-10-27
2020-10-28,3,4,2020-10-28
2020-10-29,3,5,2020-10-29
2020-10-30,3,5,2020-10-30
2020-11-02,3,5,2020-11-02
2020-11-03,3,5,2020-11-03
2020-11-04,0,1,2020-11-04
2020-11-05,0,1,2020-11-05
2020-11-06,0,1,2020-11-06
2020-11-09,2,3,2020-11-09
2020-11-10,3,4,2020-11-10
2020-11-11,3,4,2020-11-11
2020-11-12,5,5,2020-11-12
2020-11-13,5,5,2020-11-13
2020-11-16,5,5,2020-11-16
2020-11-17,5,5,2020-11-17
2020-11-18,5,5,2020-11-18
2020-11-19,6,6,2020-11-19
2020-11-20,6,6,2020-11-20
2020-11-23,6,6,2020-11-23
2020-11-24,5,6,2020-11-24
2020-11-25,6,7,2020-11-25
2020-11-26,4,5,2020-11-26
2020-11-27,4,5,2020-11-27
2020-11-30,4,5,2020-11-30
2020-12-01,4,5,2020-12-01
2020-12-02,4,5,2020-12-02
2020-12-03,4,5,2020-12-03
2020-12-04,4,6,2020-12-04
2020-12-07,5,7,2020-12-07
2020-12-08,5,6,2020-12-08
2020-12-09,5,6,2020-12-09
2020-12-10,8,9,2020-12-10
2020-12-11,10,11,2020-12-11
2020-12-14,12,13,2020-12-14
2020-12-15,12,13,2020-12-15
2020-12-16,12,13,2020-12-16
2020-12-17,11,12,2020-12-17
2020-12-18,11,11,2020-12-18
2021-02-16,7,8,2021-02-16
2021-02-17,8,9,2021-02-17
2021-02-18,8,9,2021-02-18
2021-02-19,8,9,2021-02-19
2021-02-22,8,8,2021-02-22
2021-02-23,7,7,2021-02-23
2021-02-24,2,3,2021-02-24
2021-02-25,1,2,2021-02-25
2021-02-26,1,2,2021-02-26
2021-03-01,0,1,2021-03-01
2021-03-02,0,1,2021-03-02
2021-03-03,0,1,2021-03-03
2021-03-04,0,1,2021-03-04
2021-03-05,0,1,2021-03-05
2021-03-08,2,4,2021-03-08
2021-03-09,2,3,2021-03-09
2021-03-10,3,4,2021-03-10
2021-03-11,4,5,2021-03-11
2021-03-12,5,6,2021-03-12
2021-03-15,7,8,2021-03-15
2021-03-16,8,9,2021-03-16
2021-03-17,9,10,2021-03-17
2021-03-18,11,12,2021-03-18
2021-03-19,14,15,2021-03-19
2021-03-22,17,19,2021-03-22
2021-03-23,17,19,2021-03-23
2021-03-24,16,18,2021-03-24
2021-03-25,15,17,2021-03-25
2021-03-26,14,18,2021-03-26
2021-03-29,19,25,2021-03-29
2021-03-30,20,26,2021-03-30
2021-03-31,19,25,2021-03-31
,4.495145631,5.398058252,
,,,
321.19,,,
