collected_date,confirmed_student_cases,total_confirmed_cases,
2020-09-10,0,1,2020-09-10
2020-09-11,0,1,2020-09-11
2020-09-14,1,2,2020-09-14
2020-09-15,1,2,2020-09-15
2020-09-16,1,2,2020-09-16
2020-09-17,2,3,2020-09-17
2020-09-18,4,5,2020-09-18
2020-09-21,7,9,2020-09-21
2020-09-22,8,9,2020-09-22
2020-09-23,9,10,2020-09-23
2020-09-24,9,10,2020-09-24
2020-09-25,11,12,2020-09-25
2020-09-28,11,11,2020-09-28
2020-09-29,15,15,2020-09-29
2020-09-30,15,15,2020-09-30
2020-10-01,15,15,2020-10-01
2020-10-02,14,14,2020-10-02
2020-10-05,12,12,2020-10-05
2020-10-06,18,20,2020-10-06
2020-10-07,18,20,2020-10-07
2020-10-08,20,22,2020-10-08
2020-10-09,18,24,2020-10-09
2020-10-13,14,21,2020-10-13
2020-10-14,13,18,2020-10-14
2020-10-15,15,30,2020-10-15
2020-10-16,15,31,2020-10-16
2020-10-19,15,31,2020-10-19
2020-10-20,11,33,2020-10-20
2020-10-21,14,36,2020-10-21
2020-10-22,12,37,2020-10-22
2020-10-23,13,41,2020-10-23
2020-10-26,17,43,2020-10-26
2020-10-27,18,44,2020-10-27
2020-10-28,20,46,2020-10-28
2020-10-29,19,35,2020-10-29
2020-10-30,19,34,2020-10-30
2020-11-02,22,37,2020-11-02
2020-11-03,20,28,2020-11-03
2020-11-04,16,26,2020-11-04
2020-11-05,16,25,2020-11-05
2020-11-06,16,26,2020-11-06
2020-11-09,14,26,2020-11-09
2020-11-10,13,29,2020-11-10
2020-11-11,11,37,2020-11-11
2020-11-12,10,39,2020-11-12
2020-11-13,9,40,2020-11-13
2020-11-16,8,45,2020-11-16
2020-11-17,19,55,2020-11-17
2020-11-18,19,53,2020-11-18
2020-11-19,26,60,2020-11-19
2020-11-20,28,59,2020-11-20
2020-11-23,48,78,2020-11-23
2020-11-24,52,78,2020-11-24
2020-11-25,52,67,2020-11-25
2020-11-26,56,71,2020-11-26
2020-11-27,59,72,2020-11-27
2020-11-30,68,78,2020-11-30
2020-12-01,59,73,2020-12-01
2020-12-02,58,74,2020-12-02
2020-12-03,51,66,2020-12-03
2020-12-04,54,69,2020-12-04
2020-12-07,62,79,2020-12-07
2020-12-08,66,84,2020-12-08
2020-12-09,72,90,2020-12-09
2020-12-10,70,85,2020-12-10
2020-12-11,70,86,2020-12-11
2020-12-14,79,93,2020-12-14
2020-12-15,78,91,2020-12-15
2020-12-16,91,103,2020-12-16
2020-12-17,93,106,2020-12-17
2020-12-18,89,101,2020-12-18
2021-02-16,18,19,2021-02-16
2021-02-17,23,24,2021-02-17
2021-02-18,26,27,2021-02-18
2021-02-19,27,28,2021-02-19
2021-02-22,36,37,2021-02-22
2021-02-23,38,40,2021-02-23
2021-02-24,41,44,2021-02-24
2021-02-25,42,45,2021-02-25
2021-02-26,43,48,2021-02-26
2021-03-01,58,64,2021-03-01
2021-03-02,49,55,2021-03-02
2021-03-03,48,56,2021-03-03
2021-03-04,48,56,2021-03-04
2021-03-05,56,64,2021-03-05
2021-03-08,56,64,2021-03-08
