collected_date,confirmed_student_cases,total_confirmed_cases,
2020-09-10,0,0,2020-09-10
2020-09-11,0,0,2020-09-11
2020-09-14,0,0,2020-09-14
2020-09-15,0,0,2020-09-15
2020-09-16,0,0,2020-09-16
2020-09-17,0,0,2020-09-17
2020-09-18,0,0,2020-09-18
2020-09-21,0,0,2020-09-21
2020-09-22,1,2,2020-09-22
2020-09-23,1,2,2020-09-23
2020-09-24,1,2,2020-09-24
2020-09-25,2,3,2020-09-25
2020-09-28,2,3,2020-09-28
2020-09-29,2,3,2020-09-29
2020-09-30,2,3,2020-09-30
2020-10-01,4,5,2020-10-01
2020-10-02,4,5,2020-10-02
2020-10-05,4,5,2020-10-05
2020-10-06,8,9,2020-10-06
2020-10-07,8,9,2020-10-07
2020-10-08,8,10,2020-10-08
2020-10-09,8,10,2020-10-09
2020-10-13,8,10,2020-10-13
2020-10-14,8,10,2020-10-14
2020-10-15,7,10,2020-10-15
2020-10-16,7,10,2020-10-16
2020-10-19,7,10,2020-10-19
2020-10-20,2,4,2020-10-20
2020-10-21,2,4,2020-10-21
2020-10-22,3,4,2020-10-22
2020-10-23,4,5,2020-10-23
2020-10-26,4,6,2020-10-26
2020-10-27,5,7,2020-10-27
2020-10-28,4,6,2020-10-28
2020-10-29,4,5,2020-10-29
2020-10-30,4,5,2020-10-30
2020-11-02,6,8,2020-11-02
2020-11-03,6,8,2020-11-03
2020-11-04,7,9,2020-11-04
2020-11-05,7,9,2020-11-05
2020-11-06,7,9,2020-11-06
2020-11-09,9,10,2020-11-09
2020-11-10,10,12,2020-11-10
2020-11-11,10,12,2020-11-11
2020-11-12,9,11,2020-11-12
2020-11-13,10,12,2020-11-13
2020-11-16,8,9,2020-11-16
2020-11-17,9,10,2020-11-17
2020-11-18,8,9,2020-11-18
2020-11-19,7,8,2020-11-19
2020-11-20,6,7,2020-11-20
2020-11-23,4,5,2020-11-23
2020-11-24,2,3,2020-11-24
2020-11-25,2,3,2020-11-25
2020-11-26,8,10,2020-11-26
2020-11-27,8,10,2020-11-27
2020-11-30,10,13,2020-11-30
2020-12-01,11,14,2020-12-01
2020-12-02,13,19,2020-12-02
2020-12-03,14,20,2020-12-03
2020-12-04,16,22,2020-12-04
2020-12-07,18,31,2020-12-07
2020-12-08,23,35,2020-12-08
2020-12-09,23,35,2020-12-09
2020-12-10,20,31,2020-12-10
2020-12-11,21,32,2020-12-11
2020-12-14,21,31,2020-12-14
2020-12-15,22,32,2020-12-15
2020-12-16,20,28,2020-12-16
2020-12-17,18,23,2020-12-17
2020-12-18,17,23,2020-12-18
2021-02-16,5,5,2021-02-16
2021-02-17,5,5,2021-02-17
2021-02-18,6,6,2021-02-18
2021-02-19,6,7,2021-02-19
2021-02-22,5,5,2021-02-22
2021-02-23,5,6,2021-02-23
2021-02-24,6,7,2021-02-24
2021-02-25,6,7,2021-02-25
2021-02-26,7,8,2021-02-26
2021-03-01,8,9,2021-03-01
2021-03-02,8,9,2021-03-02
2021-03-03,10,12,2021-03-03
2021-03-04,9,11,2021-03-04
2021-03-05,11,13,2021-03-05
2021-03-08,11,13,2021-03-08
2021-03-09,11,12,2021-03-09
2021-03-10,12,14,2021-03-10
2021-03-11,13,15,2021-03-11
2021-03-12,12,14,2021-03-12
2021-03-15,12,14,2021-03-15
2021-03-16,12,14,2021-03-16
2021-03-17,10,12,2021-03-17
2021-03-18,12,13,2021-03-18
2021-03-19,10,11,2021-03-19
2021-03-22,11,13,2021-03-22
2021-03-23,11,13,2021-03-23
2021-03-24,15,16,2021-03-24
2021-03-25,19,21,2021-03-25
2021-03-26,24,27,2021-03-26
2021-03-29,36,41,2021-03-29
2021-03-30,37,42,2021-03-30
2021-03-31,43,48,2021-03-31
,9.145631068,11.58252427,
,,,
157.5834395,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,2020-09-10
,,,2020-09-11
,,,2020-09-14
,,,2020-09-15
,,,2020-09-16
,,,2020-09-17
,,,2020-09-18
,,,2020-09-21
,,,2020-09-22
,,,2020-09-23
,,,2020-09-24
,,,2020-09-25
,,,2020-09-28
,,,2020-09-29
,,,2020-09-30
,,,2020-10-01
,,,2020-10-02
,,,2020-10-05
,,,2020-10-06
,,,2020-10-07
,,,2020-10-08
,,,2020-10-09
,,,2020-10-13
,,,2020-10-14
,,,2020-10-15
,,,2020-10-16
,,,2020-10-19
,,,2020-10-20
,,,2020-10-21
,,,2020-10-22
,,,2020-10-23
,,,2020-10-26
,,,2020-10-27
,,,2020-10-28
,,,2020-10-29
,,,2020-10-30
,,,2020-11-02
,,,2020-11-03
,,,2020-11-04
,,,2020-11-05
,,,2020-11-06
,,,2020-11-09
,,,2020-11-10
,,,2020-11-11
,,,2020-11-12
,,,2020-11-13
,,,2020-11-16
,,,2020-11-17
,,,2020-11-18
,,,2020-11-19
,,,2020-11-20
,,,2020-11-23
,,,2020-11-24
,,,2020-11-25
,,,2020-11-26
,,,2020-11-27
,,,2020-11-30
,,,2020-12-01
,,,2020-12-02
,,,2020-12-03
,,,2020-12-04
,,,2020-12-07
,,,2020-12-08
,,,2020-12-09
,,,2020-12-10
,,,2020-12-11
,,,2020-12-14
,,,2020-12-15
,,,2020-12-16
,,,2020-12-17
,,,2020-12-18
,,,2021-01-11
,,,2021-01-12
,,,2021-01-13
,,,2021-01-14
,,,2021-01-15
,,,2021-01-18
,,,2021-01-19
,,,2021-01-20
,,,2021-01-21
,,,2021-01-22
,,,2021-01-25
,,,2021-01-26
,,,2021-01-27
,,,2021-01-28
,,,2021-01-29
,,,2021-02-01
,,,2021-02-02
,,,2021-02-03
,,,2021-02-04
,,,2021-02-05
,,,2021-02-08
,,,2021-02-09
,,,2021-02-10
,,,2021-02-11
,,,2021-02-12
,,,2021-02-16
,,,2021-02-17
,,,2021-02-18
,,,2021-02-19
,,,2021-02-22
,,,2021-02-23
,,,2021-02-24
,,,2021-02-25
,,,2021-02-26
,,,2021-03-01
,,,2021-03-02
,,,2021-03-03
,,,2021-03-04
,,,2021-03-05
,,,2021-03-08
,,,2021-03-09
,,,2021-03-10
,,,2021-03-11
,,,2021-03-12
,,,2021-03-15
,,,2021-03-16
,,,2021-03-17
,,,2021-03-18
,,,2021-03-19
,,,2021-03-22
,,,2021-03-23
,,,2021-03-24
,,,2021-03-25
,,,2021-03-26
,,,2021-03-29
,,,2021-03-30
,,,2021-03-31
