collected_date,confirmed_student_cases,total_confirmed_cases,
2020-09-10,4,6,2020-09-10
2020-09-11,4,6,2020-09-11
2020-09-14,4,11,2020-09-14
2020-09-15,9,17,2020-09-15
2020-09-16,13,21,2020-09-16
2020-09-17,16,24,2020-09-17
2020-09-18,17,25,2020-09-18
2020-09-21,29,40,2020-09-21
2020-09-22,37,49,2020-09-22
2020-09-23,47,60,2020-09-23
2020-09-24,51,70,2020-09-24
2020-09-25,60,79,2020-09-25
2020-09-28,65,79,2020-09-28
2020-09-29,68,83,2020-09-29
2020-09-30,83,105,2020-09-30
2020-10-01,90,112,2020-10-01
2020-10-02,103,128,2020-10-02
2020-10-05,105,129,2020-10-05
2020-10-06,130,159,2020-10-06
2020-10-07,152,189,2020-10-07
2020-10-08,160,193,2020-10-08
2020-10-09,167,204,2020-10-09
2020-10-13,162,197,2020-10-13
2020-10-14,166,204,2020-10-14
2020-10-15,174,215,2020-10-15
2020-10-16,178,217,2020-10-16
2020-10-19,172,211,2020-10-19
2020-10-20,166,202,2020-10-20
2020-10-21,150,178,2020-10-21
2020-10-22,140,165,2020-10-22
2020-10-23,159,185,2020-10-23
2020-10-26,150,174,2020-10-26
2020-10-27,155,178,2020-10-27
2020-10-28,148,165,2020-10-28
2020-10-29,140,155,2020-10-29
2020-10-30,133,148,2020-10-30
2020-11-02,141,154,2020-11-02
2020-11-03,132,142,2020-11-03
2020-11-04,126,137,2020-11-04
2020-11-05,128,141,2020-11-05
2020-11-06,116,129,2020-11-06
2020-11-09,125,139,2020-11-09
2020-11-10,124,141,2020-11-10
2020-11-11,121,137,2020-11-11
2020-11-12,115,130,2020-11-12
2020-11-13,111,126,2020-11-13
2020-11-16,110,130,2020-11-16
2020-11-17,97,118,2020-11-17
2020-11-18,93,113,2020-11-18
2020-11-19,100,117,2020-11-19
2020-11-20,101,119,2020-11-20
2020-11-23,96,114,2020-11-23
2020-11-24,79,93,2020-11-24
2020-11-25,70,84,2020-11-25
2020-11-26,65,80,2020-11-26
2020-11-27,59,72,2020-11-27
2020-11-30,70,81,2020-11-30
2020-12-01,73,84,2020-12-01
2020-12-02,74,86,2020-12-02
2020-12-03,62,75,2020-12-03
2020-12-04,60,73,2020-12-04
2020-12-07,67,76,2020-12-07
2020-12-08,68,78,2020-12-08
2020-12-09,73,83,2020-12-09
2020-12-10,84,94,2020-12-10
2020-12-11,86,97,2020-12-11
2020-12-14,82,94,2020-12-14
2020-12-15,77,88,2020-12-15
2020-12-16,79,92,2020-12-16
2020-12-17,81,96,2020-12-17
2020-12-18,86,102,2020-12-18
2021-02-16,56,60,2021-02-16
2021-02-17,61,69,2021-02-17
2021-02-18,64,68,2021-02-18
2021-02-19,67,72,2021-02-19
2021-02-22,72,79,2021-02-22
2021-02-23,78,88,2021-02-23
2021-02-24,74,85,2021-02-24
2021-02-25,72,81,2021-02-25
