collected_date,confirmed_student_cases,total_confirmed_cases,
2020-09-10,0,1,2020-09-10
2020-09-11,0,1,2020-09-11
2020-09-14,0,1,2020-09-14
2020-09-15,0,1,2020-09-15
2020-09-16,1,2,2020-09-16
2020-09-17,1,2,2020-09-17
2020-09-18,1,2,2020-09-18
2020-09-21,2,3,2020-09-21
2020-09-22,6,7,2020-09-22
2020-09-23,12,13,2020-09-23
2020-09-24,12,13,2020-09-24
2020-09-25,12,13,2020-09-25
2020-09-28,12,14,2020-09-28
2020-09-29,12,14,2020-09-29
2020-09-30,12,15,2020-09-30
2020-10-01,14,17,2020-10-01
2020-10-02,16,19,2020-10-02
2020-10-05,13,16,2020-10-05
2020-10-06,10,13,2020-10-06
2020-10-07,7,10,2020-10-07
2020-10-08,7,10,2020-10-08
2020-10-09,7,10,2020-10-09
2020-10-13,9,10,2020-10-13
2020-10-14,11,11,2020-10-14
2020-10-15,11,11,2020-10-15
2020-10-16,12,12,2020-10-16
2020-10-19,12,12,2020-10-19
2020-10-20,14,14,2020-10-20
2020-10-21,12,12,2020-10-21
2020-10-22,13,13,2020-10-22
2020-10-23,13,13,2020-10-23
2020-10-26,15,16,2020-10-26
2020-10-27,15,16,2020-10-27
2020-10-28,13,14,2020-10-28
2020-10-29,13,14,2020-10-29
2020-10-30,12,14,2020-10-30
2020-11-02,17,20,2020-11-02
2020-11-03,16,19,2020-11-03
2020-11-04,15,18,2020-11-04
2020-11-05,14,17,2020-11-05
2020-11-06,15,19,2020-11-06
2020-11-09,18,22,2020-11-09
2020-11-10,22,26,2020-11-10
2020-11-11,21,25,2020-11-11
2020-11-12,20,24,2020-11-12
2020-11-13,21,25,2020-11-13
2020-11-16,17,23,2020-11-16
2020-11-17,20,29,2020-11-17
2020-11-18,22,32,2020-11-18
2020-11-19,22,32,2020-11-19
2020-11-20,23,32,2020-11-20
2020-11-23,18,28,2020-11-23
2020-11-24,23,35,2020-11-24
2020-11-25,26,39,2020-11-25
2020-11-26,28,43,2020-11-26
2020-11-27,30,46,2020-11-27
2020-11-30,35,48,2020-11-30
2020-12-01,33,45,2020-12-01
2020-12-02,36,49,2020-12-02
2020-12-03,40,56,2020-12-03
2020-12-04,43,59,2020-12-04
2020-12-07,52,71,2020-12-07
2020-12-08,51,69,2020-12-08
2020-12-09,49,67,2020-12-09
2020-12-10,49,64,2020-12-10
2020-12-11,48,62,2020-12-11
2020-12-14,57,71,2020-12-14
2020-12-15,54,67,2020-12-15
2020-12-16,56,67,2020-12-16
2020-12-17,55,64,2020-12-17
2020-12-18,57,68,2020-12-18
2021-02-16,15,16,2021-02-16
2021-02-17,18,21,2021-02-17
2021-02-18,21,25,2021-02-18
2021-02-19,27,31,2021-02-19
2021-02-22,21,25,2021-02-22
2021-02-23,30,36,2021-02-23
2021-02-24,31,39,2021-02-24
2021-02-25,34,42,2021-02-25
2021-02-26,48,55,2021-02-26
2021-03-01,62,69,2021-03-01
2021-03-02,70,78,2021-03-02
2021-03-03,71,78,2021-03-03
2021-03-04,72,79,2021-03-04
2021-03-05,69,76,2021-03-05
2021-03-08,82,90,2021-03-08
